2015-10-09 16:24:50,414 [6] INFO  Umbraco.Core.CoreBootManager - [P15332/T1/D2] Umbraco 7.2.8 application starting on VAIO
2015-10-09 16:24:50,473 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Determining hash of code files on disk
2015-10-09 16:24:50,488 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Hash determined (took 13ms)
2015-10-09 16:24:50,494 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-10-09 16:24:50,514 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 41 (took 19ms)
2015-10-09 16:24:50,604 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-10-09 16:24:50,605 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
2015-10-09 16:24:50,605 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-10-09 16:24:50,606 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 0ms)
2015-10-09 16:24:50,622 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-10-09 16:24:50,624 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 5 (took 1ms)
2015-10-09 16:24:50,624 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-10-09 16:24:50,629 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 38 (took 4ms)
2015-10-09 16:24:50,678 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-10-09 16:24:50,679 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 0ms)
2015-10-09 16:24:50,679 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-10-09 16:24:50,679 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 0ms)
2015-10-09 16:24:51,346 [6] INFO  Umbraco.Core.DatabaseContext - [P15332/T1/D2] CanConnect = True
2015-10-09 16:24:51,372 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-10-09 16:24:51,374 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 1ms)
2015-10-09 16:24:52,198 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-10-09 16:24:52,202 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 44 (took 3ms)
2015-10-09 16:24:52,781 [6] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - [P15332/T1/D2] Initializing Umbraco internal event handlers for cache refreshing
2015-10-09 16:24:52,806 [6] INFO  Umbraco.Web.Search.ExamineEvents - [P15332/T1/D2] Initializing Examine and binding to business logic events
2015-10-09 16:24:52,881 [6] INFO  Umbraco.Web.Search.ExamineEvents - [P15332/T1/D2] Adding examine event handlers for index providers: 3
2015-10-09 16:24:52,902 [6] INFO  jumps.umbraco.usync.uSync - [P15332/T1/D2] uSync Starting - for detailed debug info. set priority to 'Debug' in log4net.config file
2015-10-09 16:24:52,997 [6] INFO  jumps.umbraco.usync.SyncTemplate - [P15332/T1/D2] Importing template C:\_data\Git\Blog-Momentum Final\Blog Momentum\UmbracoWebsite\uSync\Template\BlogPage\BlogListing
2015-10-09 16:24:53,136 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Starting resolution types of umbraco.interfaces.ICacheRefresher
2015-10-09 16:24:53,138 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 20 (took 1ms)
2015-10-09 16:24:53,413 [6] INFO  jumps.umbraco.usync.SyncTemplate - [P15332/T1/D2] Importing template C:\_data\Git\Blog-Momentum Final\Blog Momentum\UmbracoWebsite\uSync\Template\BlogPage\BlogPost
2015-10-09 16:24:53,715 [6] INFO  jumps.umbraco.usync.SyncTemplate - [P15332/T1/D2] Importing template C:\_data\Git\Blog-Momentum Final\Blog Momentum\UmbracoWebsite\uSync\Template\MasterPage\Textpage
2015-10-09 16:24:53,872 [6] INFO  jumps.umbraco.usync.uSync - [P15332/T1/D2] Processed Templates (966ms)
2015-10-09 16:24:53,874 [6] INFO  jumps.umbraco.usync.uSync - [P15332/T1/D2] Processed Stylesheets (1ms)
2015-10-09 16:24:55,068 [6] INFO  jumps.umbraco.usync.uSync - [P15332/T1/D2] Processed data types (1192ms)
2015-10-09 16:24:56,059 [6] INFO  jumps.umbraco.usync.uSync - [P15332/T1/D2] Processed Doctypes [10](989ms)
2015-10-09 16:24:56,062 [6] INFO  jumps.umbraco.usync.uSync - [P15332/T1/D2] Processed Macros (1ms)
2015-10-09 16:24:56,982 [6] INFO  jumps.umbraco.usync.uSync - [P15332/T1/D2] Processed Media types (919ms)
2015-10-09 16:24:57,001 [6] INFO  jumps.umbraco.usync.uSync - [P15332/T1/D2] Processed Languages (17ms)
2015-10-09 16:24:57,003 [6] INFO  jumps.umbraco.usync.uSync - [P15332/T1/D2] Processed Dictionary items (1ms)
2015-10-09 16:24:57,369 [6] INFO  jumps.umbraco.usync.uSync - [P15332/T1/D2] Processed Member types (365ms)
2015-10-09 16:24:57,372 [6] INFO  jumps.umbraco.usync.uSync - [P15332/T1/D2] Attaching MemberTypes events
